"fk_table_schema","fk_table_name","fk_column_name","pk_table_schema","pk_table_name","pk_column_name","fk_constraint_name"
"public","bratrax_fixed_expenses","bratrax_category_id","public","bratrax_expense_categories","bratrax_category_id","fk_bfe_bratrax_category"
"public","bratrax_fixed_expenses","bratrax_write_key_id","public","bratrax_write_keys","bratrax_write_key_id","fk_bfe_bratrax_write_key"
"public","bratrax_payment_gateway_settings","created_by_user_uuid","public","users","user_uuid","fk_bpgs_created_by_user"
"public","bratrax_payment_gateway_settings","organization_uuid","public","organizations","organization_uuid","fk_bpgs_organization"
"public","bratrax_payment_gateway_settings","updated_by_user_uuid","public","users","user_uuid","fk_bpgs_updated_by_user"
"public","bratrax_payment_gateway_settings","bratrax_write_key_id","public","bratrax_write_keys","bratrax_write_key_id","fk_bpgs_bratrax_write_key"
"public","bratrax_periscope_event_destinations","bratrax_advertising_connection_id","public","bratrax_advertising_connections","bratrax_connection_id","fk_bped_advertising_connection"
"public","bratrax_periscope_event_destinations","bratrax_periscope_event_id","public","bratrax_periscope_events","bratrax_periscope_event_id","fk_bped_periscope_event"
"public","bratrax_periscope_events","bratrax_advertising_connection_id","public","bratrax_advertising_connections","bratrax_connection_id","fk_bpse_advertising_connection"
"public","bratrax_periscope_events","bratrax_event_id","public","bratrax_events","bratrax_event_id","fk_bpse_event"
"public","bratrax_periscope_events","organization_uuid","public","organizations","organization_uuid","fk_bpse_organization"
"public","bratrax_product_cogs_settings","bratrax_write_key_id","public","bratrax_write_keys","bratrax_write_key_id","fk_bpcs_bratrax_write_key"
"public","bratrax_product_cogs_settings","updated_by_user_uuid","public","users","user_uuid","fk_bpcs_updated_by_user"
"public","bratrax_product_cogs_settings","created_by_user_uuid","public","users","user_uuid","fk_bpcs_created_by_user"
"public","bratrax_product_cogs_settings","organization_uuid","public","organizations","organization_uuid","fk_bpcs_organization"
"public","bratrax_products","organization_uuid","public","organizations","organization_uuid","fk_bprod_organization_products"
"public","bratrax_products","bratrax_write_key_id","public","bratrax_write_keys","bratrax_write_key_id","fk_bprod_bratrax_write_key_products"
"public","bratrax_properties","bratrax_write_key_id","public","bratrax_write_keys","bratrax_write_key_id","fk_bprop_bratrax_write_key"
"public","bratrax_properties","organization_uuid","public","organizations","organization_uuid","fk_bprop_organization"
"public","bratrax_shipping_profiles","updated_by_user_uuid","public","users","user_uuid","fk_bsp_updated_by_user"
"public","bratrax_shipping_profiles","created_by_user_uuid","public","users","user_uuid","fk_bsp_created_by_user"
"public","bratrax_shipping_profiles","bratrax_write_key_id","public","bratrax_write_keys","bratrax_write_key_id","fk_bsp_bratrax_write_key"
"public","bratrax_shipping_profiles","organization_uuid","public","organizations","organization_uuid","fk_bsp_organization"
"public","bratrax_store_cogs_settings","updated_by_user_uuid","public","users","user_uuid","fk_bscs_updated_by_user"
"public","bratrax_store_cogs_settings","organization_uuid","public","organizations","organization_uuid","fk_bscs_organization"
"public","bratrax_store_cogs_settings","bratrax_write_key_id","public","bratrax_write_keys","bratrax_write_key_id","fk_bscs_bratrax_write_key"
"public","bratrax_store_cogs_settings","created_by_user_uuid","public","users","user_uuid","fk_bscs_created_by_user"
"public","bratrax_traffic_rules","bratrax_write_key_id","public","bratrax_write_keys","bratrax_write_key_id","fk_btr_bratrax_write_key"
"public","bratrax_traffic_rules","organization_uuid","public","organizations","organization_uuid","fk_btr_organization"
"public","bratrax_traffic_rules","created_by_user_uuid","public","users","user_uuid","fk_btr_created_by_user"
"public","bratrax_traffic_rules","updated_by_user_uuid","public","users","user_uuid","fk_btr_updated_by_user"
"public","bratrax_user_platform_credentials","user_uuid","public","users","user_uuid","fk_bupc_user"
"public","bratrax_user_platform_credentials","bratrax_write_key_id","public","bratrax_write_keys","bratrax_write_key_id","fk_bupc_bratrax_write_key"
"public","bratrax_user_platform_credentials","created_by_user_uuid","public","users","user_uuid","fk_bupc_created_by_user"
"public","bratrax_user_platform_credentials","organization_uuid","public","organizations","organization_uuid","fk_bupc_organization"
"public","bratrax_variable_expenses","bratrax_category_id","public","bratrax_expense_categories","bratrax_category_id","fk_bve_bratrax_category"
"public","bratrax_variable_expenses","updated_by_user_uuid","public","users","user_uuid","fk_bve_updated_by_user"
"public","bratrax_variable_expenses","created_by_user_uuid","public","users","user_uuid","fk_bve_created_by_user"
"public","bratrax_variable_expenses","bratrax_write_key_id","public","bratrax_write_keys","bratrax_write_key_id","fk_bve_bratrax_write_key"
"public","bratrax_variable_expenses","organization_uuid","public","organizations","organization_uuid","fk_bve_organization"
"public","bratrax_write_keys","project_uuid","public","projects","project_uuid","fk_bwk_project"
"public","bratrax_write_keys","organization_uuid","public","organizations","organization_uuid","fk_bwk_organization"
"public","cached_explore","project_uuid","public","projects","project_uuid","cached_explore_project_uuid_foreign"
"public","cached_explores","project_uuid","public","projects","project_uuid","cached_explores_project_uuid_foreign"
"public","catalog_search","cached_explore_uuid","public","cached_explore","cached_explore_uuid","catalog_search_cached_explore_uuid_foreign"
"public","catalog_search","project_uuid","public","projects","project_uuid","catalog_search_project_uuid_foreign"
"public","catalog_search_tags","tag_uuid","public","tags","tag_uuid","catalog_search_tags_tag_uuid_foreign"
